throttle,velocity,acceleration
0.38,1.174720,0.358278
0.38,1.194207,0.349918
0.38,1.208278,0.342923
0.38,1.227117,0.335742
0.38,1.240552,0.329158
0.38,1.258860,0.323265
0.38,1.272910,0.323160
0.38,1.292304,0.325938
0.38,1.306532,0.329899
0.38,1.324141,0.326405
0.38,1.336952,0.320209
0.38,1.353681,0.306885
0.38,1.365591,0.295298
0.38,1.381765,0.288123
0.38,1.392974,0.280113
0.38,1.410324,0.283212
0.38,1.421366,0.278876
0.38,1.439457,0.288456
0.38,1.449747,0.283866
0.38,1.466320,0.279982
0.38,1.475349,0.269915
0.38,1.491062,0.258026
0.38,1.499252,0.247524
0.38,1.514368,0.240240
0.38,1.521898,0.232744
0.38,1.536553,0.227456
0.38,1.543538,0.221430
0.38,1.557779,0.217056
0.38,1.564275,0.211885
0.38,1.578137,0.207919
0.38,1.584170,0.203158
0.38,1.597673,0.199469
0.38,1.603268,0.194966
0.38,1.616426,0.191447
0.38,1.621599,0.187148
0.38,1.634419,0.183728
0.38,1.639185,0.179584
0.38,1.651680,0.176271
0.38,1.656064,0.172324
0.38,1.668245,0.169133
0.38,1.672260,0.165376
0.38,1.684135,0.162272
0.38,1.687788,0.158622
0.38,1.699368,0.155612
0.38,1.702672,0.152060
0.38,1.713967,0.149160
0.38,1.716937,0.145741
0.38,1.727957,0.142948
0.38,1.730606,0.139668
0.38,1.741364,0.136987
0.38,1.743704,0.133836
0.38,1.754207,0.131248
0.38,1.756253,0.128237
0.38,1.766512,0.125738
0.38,1.768274,0.122852
0.38,1.778298,0.120457
0.38,1.779791,0.117691
0.38,1.789588,0.115383
0.38,1.790819,0.112724
0.38,1.800398,0.110500
0.38,1.801382,0.107954
0.38,1.810751,0.105815
0.38,1.811496,0.103386
0.38,1.820666,0.101337
0.38,1.821183,0.099003
0.38,1.830158,0.097035
0.38,1.830457,0.094804
0.38,1.839246,0.092903
0.38,1.839333,0.090751
0.38,1.847946,0.088940
0.38,1.847837,0.086899
0.38,1.856278,0.085160
0.38,1.855976,0.083216
0.38,1.864253,0.081535
0.38,1.863768,0.079655
0.38,1.871888,0.078048
0.38,1.871227,0.076253
0.38,1.879197,0.074718
0.38,1.878367,0.072996
0.38,1.886191,0.071516
0.38,1.885201,0.069870
0.38,1.892887,0.068451
0.38,1.891744,0.066886
0.38,1.899298,0.065536
0.38,1.898007,0.064028
0.38,1.905431,0.062722
0.38,1.904000,0.061276
0.38,1.911302,0.060018
0.38,1.909735,0.058644
0.38,1.916921,0.057447
0.38,1.915225,0.056129
0.38,1.922298,0.054981
0.38,1.920480,0.053724
0.38,1.927447,0.052632
0.38,1.925511,0.051426
0.38,1.932375,0.050383
0.38,1.930324,0.049219
0.38,1.937088,0.048204
0.38,1.934929,0.047092
0.38,1.941600,0.046126
0.38,1.939338,0.045068
0.38,1.945917,0.044144
0.38,1.943556,0.043136
0.38,1.950050,0.042249
0.38,1.947594,0.041280
0.38,1.954003,0.040431
0.38,1.951457,0.039503
0.38,1.957787,0.038688
